package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
boo.kodeeverse.composemagic.stability.UnstableAndAlwaysSameClassArgumentDemo,UnstableAndAlwaysSameClassArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.StableClassParameterIntoArgumentDemo,StableClassParameterIntoArgumentDemo,1,1,1,0,0,0,1,0,2,1,
boo.kodeeverse.composemagic.stability.StableClassPropertyIntoArgumentDemo,StableClassPropertyIntoArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.ImmutableClassParameterIntoArgumentDemo,ImmutableClassParameterIntoArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.ImmutableClassPropertyIntoArgumentDemo,ImmutableClassPropertyIntoArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.StableBoxingClassArgumentDemo,StableBoxingClassArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.UnstableBoxingClassArgumentDemo,UnstableBoxingClassArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.ImmutableClassArgumentDemo,ImmutableClassArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.ImmutableButNonStaticArgumentClassArgumentDemo,ImmutableButNonStaticArgumentClassArgumentDemo,1,1,1,0,0,0,0,0,1,1,
boo.kodeeverse.composemagic.stability.StaticConstructorArgument,StaticConstructorArgument,1,1,1,0,0,0,0,0,1,2,
